




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (5409)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (expected)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (over/under)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (FDR)
ubiquitin-dependent protein catabolic process (GO:0006511)	545	268	143.14	+	1.87	2.45E-16	3.03E-14
spindle organization (GO:0007051)	224	110	58.83	+	1.87	1.98E-07	1.06E-05
signal transduction in response to DNA damage (GO:0042770)	167	82	43.86	+	1.87	6.72E-06	2.72E-04
DNA geometric change (GO:0032392)	110	54	28.89	+	1.87	3.12E-04	8.44E-03
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	53	28.36	+	1.87	2.91E-04	7.91E-03
protein-containing complex localization (GO:0031503)	259	127	68.02	+	1.87	2.90E-08	1.71E-06
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	120	64.35	+	1.86	5.61E-08	3.16E-06
modification-dependent protein catabolic process (GO:0019941)	552	270	144.98	+	1.86	2.57E-16	3.15E-14
ERAD pathway (GO:0036503)	92	45	24.16	+	1.86	9.73E-04	2.31E-02
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	90	48.33	+	1.86	2.91E-06	1.27E-04
chromatin assembly or disassembly (GO:0006333)	170	83	44.65	+	1.86	7.68E-06	3.06E-04
DNA replication (GO:0006260)	273	133	71.70	+	1.85	1.54E-08	9.39E-07
heterocycle catabolic process (GO:0046700)	417	203	109.52	+	1.85	2.21E-12	1.99E-10
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	108	58.31	+	1.85	3.56E-07	1.82E-05
negative regulation of mitotic cell cycle (GO:0045930)	294	143	77.22	+	1.85	4.33E-09	2.88E-07
regulation of mitotic cell cycle phase transition (GO:1901990)	434	211	113.98	+	1.85	9.56E-13	9.10E-11
DNA damage checkpoint signaling (GO:0000077)	142	69	37.29	+	1.85	5.40E-05	1.82E-03
nucleic acid-templated transcription (GO:0097659)	531	258	139.46	+	1.85	2.59E-15	2.97E-13
recombinational repair (GO:0000725)	103	50	27.05	+	1.85	6.12E-04	1.53E-02
double-strand break repair (GO:0006302)	204	99	53.58	+	1.85	1.49E-06	6.76E-05
protein folding (GO:0006457)	233	113	61.19	+	1.85	2.25E-07	1.18E-05
transcription, DNA-templated (GO:0006351)	530	257	139.20	+	1.85	3.46E-15	3.93E-13
cellular nitrogen compound catabolic process (GO:0044270)	423	205	111.10	+	1.85	2.19E-12	1.99E-10
regulation of DNA repair (GO:0006282)	130	63	34.14	+	1.85	1.15E-04	3.52E-03
protein-DNA complex assembly (GO:0065004)	256	124	67.23	+	1.84	6.83E-08	3.80E-06
RNA biosynthetic process (GO:0032774)	543	263	142.61	+	1.84	1.73E-15	2.04E-13
histone methylation (GO:0016571)	91	44	23.90	+	1.84	1.31E-03	3.00E-02
negative regulation of cell cycle phase transition (GO:1901988)	294	142	77.22	+	1.84	8.29E-09	5.33E-07
cellular response to DNA damage stimulus (GO:0006974)	793	383	208.27	+	1.84	5.27E-22	9.68E-20
gene expression (GO:0010467)	2117	1022	556.00	+	1.84	3.93E-61	4.43E-58
DNA-dependent DNA replication (GO:0006261)	195	94	51.21	+	1.84	2.66E-06	1.16E-04
transcription by RNA polymerase II (GO:0006366)	382	184	100.33	+	1.83	5.80E-11	4.68E-09
protein modification by small protein removal (GO:0070646)	295	142	77.48	+	1.83	8.77E-09	5.57E-07
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	293	159.95	+	1.83	7.61E-17	1.00E-14
chromatin remodeling (GO:0006338)	173	83	45.44	+	1.83	1.26E-05	4.83E-04
methylation (GO:0032259)	313	150	82.21	+	1.82	4.07E-09	2.72E-07
cellular macromolecule biosynthetic process (GO:0034645)	1639	785	430.46	+	1.82	7.96E-45	5.47E-42
regulation of protein ubiquitination (GO:0031396)	213	102	55.94	+	1.82	1.24E-06	5.72E-05
cellular protein-containing complex assembly (GO:0034622)	867	415	227.71	+	1.82	3.10E-23	6.29E-21
DNA biosynthetic process (GO:0071897)	117	56	30.73	+	1.82	3.30E-04	8.85E-03
cellular protein catabolic process (GO:0044257)	644	308	169.14	+	1.82	2.08E-17	2.90E-15
macroautophagy (GO:0016236)	199	95	52.26	+	1.82	3.25E-06	1.40E-04
aromatic compound catabolic process (GO:0019439)	438	209	115.03	+	1.82	4.45E-12	3.85E-10
positive regulation of response to DNA damage stimulus (GO:2001022)	109	52	28.63	+	1.82	6.01E-04	1.50E-02
response to UV (GO:0009411)	151	72	39.66	+	1.82	6.07E-05	2.02E-03
DNA duplex unwinding (GO:0032508)	105	50	27.58	+	1.81	9.55E-04	2.27E-02
vacuole organization (GO:0007033)	145	69	38.08	+	1.81	8.82E-05	2.79E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	739	407.87	+	1.81	2.97E-41	1.47E-38
nucleobase-containing compound metabolic process (GO:0006139)	2705	1287	710.43	+	1.81	1.46E-76	2.30E-73
regulation of response to DNA damage stimulus (GO:2001020)	223	106	58.57	+	1.81	1.03E-06	4.84E-05
regulation of gene expression, epigenetic (GO:0040029)	173	82	45.44	+	1.80	2.43E-05	8.78E-04
intracellular protein transport (GO:0006886)	781	370	205.12	+	1.80	3.23E-20	5.26E-18
nucleobase-containing compound transport (GO:0015931)	245	116	64.35	+	1.80	4.05E-07	2.05E-05
response to ionizing radiation (GO:0010212)	148	70	38.87	+	1.80	1.02E-04	3.15E-03
mitochondrial membrane organization (GO:0007006)	146	69	38.34	+	1.80	9.45E-05	2.97E-03
autophagy (GO:0006914)	309	146	81.15	+	1.80	1.26E-08	7.90E-07
process utilizing autophagic mechanism (GO:0061919)	309	146	81.15	+	1.80	1.26E-08	7.87E-07
regulation of chromosome organization (GO:0033044)	290	137	76.16	+	1.80	3.63E-08	2.08E-06
macromolecule biosynthetic process (GO:0009059)	1680	793	441.23	+	1.80	1.57E-43	9.52E-41
protein acylation (GO:0043543)	178	84	46.75	+	1.80	2.22E-05	8.22E-04
gene silencing by RNA (GO:0031047)	89	42	23.37	+	1.80	2.38E-03	4.91E-02
protein deubiquitination (GO:0016579)	278	131	73.01	+	1.79	1.02E-07	5.60E-06
protein polyubiquitination (GO:0000209)	325	153	85.36	+	1.79	7.17E-09	4.72E-07
protein catabolic process (GO:0030163)	697	328	183.06	+	1.79	1.25E-17	1.81E-15
gene silencing (GO:0016458)	153	72	40.18	+	1.79	9.29E-05	2.93E-03
negative regulation of cell cycle process (GO:0010948)	368	173	96.65	+	1.79	7.88E-10	5.77E-08
energy derivation by oxidation of organic compounds (GO:0015980)	256	120	67.23	+	1.78	3.59E-07	1.84E-05
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	143	67	37.56	+	1.78	1.55E-04	4.62E-03
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	109	51	28.63	+	1.78	1.15E-03	2.68E-02
DNA recombination (GO:0006310)	225	105	59.09	+	1.78	2.91E-06	1.26E-04
endoplasmic reticulum unfolded protein response (GO:0030968)	105	49	27.58	+	1.78	1.33E-03	3.03E-02
chromatin organization (GO:0006325)	703	328	184.63	+	1.78	3.09E-17	4.21E-15
nucleus organization (GO:0006997)	148	69	38.87	+	1.78	1.41E-04	4.25E-03
chromosome organization (GO:0051276)	1064	496	279.45	+	1.77	8.37E-26	2.10E-23
vesicle budding from membrane (GO:0006900)	103	48	27.05	+	1.77	1.68E-03	3.71E-02
regulation of cell cycle phase transition (GO:1901987)	522	243	137.10	+	1.77	6.12E-13	5.90E-11
vacuolar transport (GO:0007034)	155	72	40.71	+	1.77	1.03E-04	3.19E-03
heterocycle metabolic process (GO:0046483)	2891	1339	759.28	+	1.76	2.54E-74	3.65E-71
regulation of DNA replication (GO:0006275)	108	50	28.36	+	1.76	1.52E-03	3.39E-02
histone modification (GO:0016570)	363	168	95.34	+	1.76	3.14E-09	2.13E-07
cellular amide metabolic process (GO:0043603)	820	379	215.36	+	1.76	2.50E-19	3.95E-17
nucleosome assembly (GO:0006334)	117	54	30.73	+	1.76	8.79E-04	2.12E-02
DNA conformation change (GO:0071103)	312	144	81.94	+	1.76	5.09E-08	2.88E-06
mitotic cell cycle (GO:0000278)	750	346	196.98	+	1.76	1.34E-17	1.93E-15
viral life cycle (GO:0019058)	230	106	60.41	+	1.75	3.60E-06	1.53E-04
DNA metabolic process (GO:0006259)	777	358	204.07	+	1.75	4.56E-18	6.80E-16
regulation of cell cycle G1/S phase transition (GO:1902806)	178	82	46.75	+	1.75	4.27E-05	1.47E-03
covalent chromatin modification (GO:0016569)	367	169	96.39	+	1.75	3.72E-09	2.50E-07
mitochondrial transport (GO:0006839)	235	108	61.72	+	1.75	3.26E-06	1.40E-04
negative regulation of cell cycle G2/M phase transition (GO:1902750)	111	51	29.15	+	1.75	1.29E-03	2.95E-02
transport along microtubule (GO:0010970)	157	72	41.23	+	1.75	1.53E-04	4.55E-03
negative regulation of cell cycle (GO:0045786)	454	208	119.24	+	1.74	8.38E-11	6.62E-09
mitotic cell cycle process (GO:1903047)	675	309	177.28	+	1.74	1.96E-15	2.26E-13
organic cyclic compound catabolic process (GO:1901361)	466	213	122.39	+	1.74	5.54E-11	4.49E-09
regulation of cellular protein catabolic process (GO:1903362)	256	117	67.23	+	1.74	1.68E-06	7.54E-05
cellular aromatic compound metabolic process (GO:0006725)	2937	1340	771.36	+	1.74	4.98E-71	6.56E-68
regulation of mitotic cell cycle (GO:0007346)	588	268	154.43	+	1.74	2.31E-13	2.31E-11
positive regulation of protein ubiquitination (GO:0031398)	123	56	32.30	+	1.73	1.12E-03	2.62E-02
positive regulation of cellular protein catabolic process (GO:1903364)	156	71	40.97	+	1.73	2.00E-04	5.68E-03
positive regulation of chromatin organization (GO:1905269)	121	55	31.78	+	1.73	1.05E-03	2.46E-02
cellular nitrogen compound metabolic process (GO:0034641)	3395	1542	891.65	+	1.73	3.77E-83	7.45E-80
chromatin assembly (GO:0031497)	150	68	39.40	+	1.73	2.91E-04	7.91E-03
import into nucleus (GO:0051170)	117	53	30.73	+	1.72	1.63E-03	3.62E-02
endosomal transport (GO:0016197)	235	106	61.72	+	1.72	8.10E-06	3.20E-04
cellular response to unfolded protein (GO:0034620)	131	59	34.41	+	1.71	8.46E-04	2.04E-02
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	95	55.68	+	1.71	2.69E-05	9.64E-04
intracellular transport (GO:0046907)	1464	656	384.50	+	1.71	1.92E-30	6.61E-28
cell division (GO:0051301)	498	223	130.79	+	1.70	1.02E-10	8.06E-09
cellular response to topologically incorrect protein (GO:0035967)	152	68	39.92	+	1.70	4.22E-04	1.10E-02
protein-containing complex subunit organization (GO:0043933)	1605	718	421.53	+	1.70	2.60E-33	1.05E-30
response to unfolded protein (GO:0006986)	168	75	44.12	+	1.70	2.36E-04	6.59E-03
response to endoplasmic reticulum stress (GO:0034976)	260	116	68.29	+	1.70	3.66E-06	1.55E-04
regulation of cell cycle G2/M phase transition (GO:1902749)	222	99	58.31	+	1.70	2.17E-05	8.05E-04
DNA packaging (GO:0006323)	202	90	53.05	+	1.70	5.98E-05	2.00E-03
response to topologically incorrect protein (GO:0035966)	191	85	50.16	+	1.69	9.55E-05	2.99E-03
regulation of protein stability (GO:0031647)	306	136	80.37	+	1.69	7.94E-07	3.80E-05
nucleobase-containing compound biosynthetic process (GO:0034654)	975	433	256.07	+	1.69	1.63E-19	2.60E-17
chromosome segregation (GO:0007059)	286	127	75.11	+	1.69	1.64E-06	7.37E-05
microtubule-based transport (GO:0099111)	192	85	50.43	+	1.69	9.97E-05	3.10E-03
heterocycle biosynthetic process (GO:0018130)	1049	463	275.51	+	1.68	1.99E-20	3.35E-18
electron transport chain (GO:0022900)	170	75	44.65	+	1.68	2.61E-04	7.14E-03
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	161	71	42.28	+	1.68	4.40E-04	1.14E-02
regulation of cell cycle process (GO:0010564)	792	349	208.01	+	1.68	1.79E-15	2.08E-13
nuclear chromosome segregation (GO:0098813)	227	100	59.62	+	1.68	2.65E-05	9.53E-04
regulation of cellular catabolic process (GO:0031329)	899	396	236.11	+	1.68	2.24E-17	3.08E-15
protein localization to nucleus (GO:0034504)	168	74	44.12	+	1.68	3.19E-04	8.57E-03
organic cyclic compound metabolic process (GO:1901360)	3182	1396	835.71	+	1.67	5.16E-66	6.27E-63
protein modification by small protein conjugation or removal (GO:0070647)	1035	454	271.83	+	1.67	1.26E-19	2.03E-17
protein modification by small protein conjugation (GO:0032446)	822	360	215.89	+	1.67	1.20E-15	1.43E-13
cellular component disassembly (GO:0022411)	409	179	107.42	+	1.67	2.44E-08	1.45E-06
cellular response to radiation (GO:0071478)	181	79	47.54	+	1.66	2.83E-04	7.72E-03
regulation of chromatin organization (GO:1902275)	211	92	55.42	+	1.66	8.25E-05	2.65E-03
establishment of protein localization (GO:0045184)	1397	608	366.90	+	1.66	1.03E-25	2.55E-23
positive regulation of protein catabolic process (GO:0045732)	237	103	62.24	+	1.65	3.68E-05	1.28E-03
protein-containing complex assembly (GO:0065003)	1358	590	356.66	+	1.65	9.22E-25	2.14E-22
protein stabilization (GO:0050821)	198	86	52.00	+	1.65	1.63E-04	4.83E-03
aromatic compound biosynthetic process (GO:0019438)	1060	460	278.39	+	1.65	2.92E-19	4.53E-17
protein transport (GO:0015031)	1300	564	341.43	+	1.65	1.43E-23	2.98E-21
regulation of catabolic process (GO:0009894)	1066	462	279.97	+	1.65	3.49E-19	5.35E-17
cell cycle phase transition (GO:0044770)	270	117	70.91	+	1.65	1.19E-05	4.59E-04
regulation of DNA recombination (GO:0000018)	127	55	33.35	+	1.65	2.43E-03	4.96E-02
cytoskeleton-dependent intracellular transport (GO:0030705)	194	84	50.95	+	1.65	1.91E-04	5.47E-03
regulation of autophagy (GO:0010506)	331	143	86.93	+	1.64	1.40E-06	6.44E-05
protein localization to membrane (GO:0072657)	542	234	142.35	+	1.64	4.67E-10	3.46E-08
mitotic cell cycle phase transition (GO:0044772)	262	113	68.81	+	1.64	1.63E-05	6.18E-04
DNA-templated transcription, initiation (GO:0006352)	195	84	51.21	+	1.64	2.58E-04	7.09E-03
regulation of DNA metabolic process (GO:0051052)	372	160	97.70	+	1.64	3.43E-07	1.77E-05
Golgi vesicle transport (GO:0048193)	398	171	104.53	+	1.64	1.52E-07	8.19E-06
negative regulation of DNA metabolic process (GO:0051053)	140	60	36.77	+	1.63	2.10E-03	4.46E-02
nuclear division (GO:0000280)	339	145	89.03	+	1.63	1.81E-06	8.09E-05
regulation of protein catabolic process (GO:0042176)	398	170	104.53	+	1.63	2.02E-07	1.08E-05
cell cycle (GO:0007049)	1316	562	345.63	+	1.63	2.96E-22	5.63E-20
cell cycle G2/M phase transition (GO:0044839)	143	61	37.56	+	1.62	2.31E-03	4.80E-02
localization within membrane (GO:0051668)	615	262	161.52	+	1.62	1.03E-10	8.10E-09
G2/M transition of mitotic cell cycle (GO:0000086)	141	60	37.03	+	1.62	2.20E-03	4.62E-02
regulation of mitochondrion organization (GO:0010821)	160	68	42.02	+	1.62	1.31E-03	2.99E-02
positive regulation of cellular catabolic process (GO:0031331)	450	191	118.19	+	1.62	5.17E-08	2.92E-06
cellular macromolecule localization (GO:0070727)	1480	628	388.70	+	1.62	2.31E-24	5.14E-22
protein ubiquitination (GO:0016567)	746	316	195.93	+	1.61	2.18E-12	1.99E-10
regulation of cell cycle (GO:0051726)	1164	493	305.71	+	1.61	5.74E-19	8.72E-17
organonitrogen compound biosynthetic process (GO:1901566)	1379	584	362.18	+	1.61	2.07E-22	4.09E-20
regulation of histone modification (GO:0031056)	156	66	40.97	+	1.61	1.54E-03	3.43E-02
organelle fission (GO:0048285)	369	156	96.91	+	1.61	1.18E-06	5.48E-05
cellular response to oxygen levels (GO:0071453)	220	93	57.78	+	1.61	1.90E-04	5.47E-03
cellular protein localization (GO:0034613)	1470	621	386.08	+	1.61	1.18E-23	2.52E-21
positive regulation of catabolic process (GO:0009896)	519	219	136.31	+	1.61	7.57E-09	4.93E-07
regulation of organelle assembly (GO:1902115)	190	80	49.90	+	1.60	6.52E-04	1.62E-02
cell cycle process (GO:0022402)	957	402	251.34	+	1.60	3.74E-15	4.22E-13
peptidyl-amino acid modification (GO:0018193)	886	372	232.70	+	1.60	4.48E-14	4.65E-12
response to starvation (GO:0042594)	232	97	60.93	+	1.59	2.08E-04	5.88E-03
positive regulation of DNA metabolic process (GO:0051054)	202	84	53.05	+	1.58	5.50E-04	1.40E-02
cellular response to decreased oxygen levels (GO:0036294)	202	84	53.05	+	1.58	5.50E-04	1.39E-02
cellular biosynthetic process (GO:0044249)	2715	1126	713.06	+	1.58	4.62E-42	2.52E-39
cellular response to hypoxia (GO:0071456)	193	80	50.69	+	1.58	9.20E-04	2.21E-02
cellular response to stress (GO:0033554)	1741	720	457.25	+	1.57	1.31E-25	3.18E-23
cellular macromolecule metabolic process (GO:0044260)	4909	2026	1289.28	+	1.57	5.84E-86	1.32E-82
organic substance biosynthetic process (GO:1901576)	2803	1156	736.17	+	1.57	1.89E-42	1.11E-39
organelle assembly (GO:0070925)	796	328	209.06	+	1.57	1.10E-11	9.28E-10
cellular component biogenesis (GO:0044085)	2754	1133	723.30	+	1.57	3.85E-41	1.84E-38
biosynthetic process (GO:0009058)	2865	1174	752.45	+	1.56	3.73E-42	2.11E-39
organic cyclic compound biosynthetic process (GO:1901362)	1196	489	314.11	+	1.56	1.45E-16	1.82E-14
negative regulation of cellular catabolic process (GO:0031330)	257	105	67.50	+	1.56	1.92E-04	5.48E-03
cellular catabolic process (GO:0044248)	1812	739	475.90	+	1.55	5.85E-25	1.38E-22
protein localization (GO:0008104)	2063	838	541.82	+	1.55	4.27E-28	1.30E-25
cellular protein metabolic process (GO:0044267)	3590	1457	942.87	+	1.55	1.54E-52	1.43E-49
nitrogen compound transport (GO:0071705)	1708	693	448.58	+	1.54	6.43E-23	1.29E-20
cellular response to starvation (GO:0009267)	190	77	49.90	+	1.54	1.81E-03	3.94E-02
regulation of cellular response to stress (GO:0080135)	692	280	181.74	+	1.54	1.69E-09	1.19E-07
generation of precursor metabolites and energy (GO:0006091)	403	163	105.84	+	1.54	4.88E-06	2.02E-04
response to reactive oxygen species (GO:0000302)	186	75	48.85	+	1.54	2.12E-03	4.49E-02
organelle organization (GO:0006996)	3567	1437	936.82	+	1.53	3.69E-50	3.24E-47
positive regulation of cell cycle (GO:0045787)	310	124	81.42	+	1.52	1.01E-04	3.15E-03
vesicle organization (GO:0016050)	313	125	82.21	+	1.52	1.08E-04	3.31E-03
positive regulation of cell cycle process (GO:0090068)	228	91	59.88	+	1.52	1.06E-03	2.48E-02
establishment of organelle localization (GO:0051656)	398	158	104.53	+	1.51	1.75E-05	6.62E-04
post-translational protein modification (GO:0043687)	361	143	94.81	+	1.51	4.90E-05	1.67E-03
macromolecule metabolic process (GO:0043170)	6151	2427	1615.48	+	1.50	1.21E-93	3.82E-90
organic substance catabolic process (GO:1901575)	1769	696	464.60	+	1.50	2.48E-20	4.09E-18
microtubule cytoskeleton organization (GO:0000226)	567	222	148.91	+	1.49	7.01E-07	3.39E-05
vesicle localization (GO:0051648)	212	83	55.68	+	1.49	2.41E-03	4.93E-02
negative regulation of catabolic process (GO:0009895)	317	124	83.26	+	1.49	2.33E-04	6.51E-03
negative regulation of gene expression (GO:0010629)	999	390	262.37	+	1.49	3.74E-11	3.11E-09
positive regulation of organelle organization (GO:0010638)	605	235	158.90	+	1.48	4.96E-07	2.47E-05
nitrogen compound metabolic process (GO:0006807)	6886	2669	1808.52	+	1.48	6.66E-101	5.26E-97
organelle localization (GO:0051640)	609	236	159.95	+	1.48	5.36E-07	2.66E-05
regulation of intracellular transport (GO:0032386)	364	141	95.60	+	1.47	1.27E-04	3.86E-03
cellular component assembly (GO:0022607)	2494	966	655.02	+	1.47	6.39E-27	1.74E-24
cellular metabolic process (GO:0044237)	7542	2913	1980.80	+	1.47	3.59E-115	5.68E-111
macromolecule localization (GO:0033036)	2496	964	655.54	+	1.47	1.69E-26	4.46E-24
catabolic process (GO:0009056)	2096	809	550.49	+	1.47	7.16E-22	1.27E-19
response to insulin (GO:0032868)	241	93	63.30	+	1.47	2.19E-03	4.61E-02
macromolecule modification (GO:0043412)	3211	1231	843.33	+	1.46	8.47E-34	3.52E-31
organonitrogen compound catabolic process (GO:1901565)	1091	417	286.54	+	1.46	6.83E-11	5.45E-09
primary metabolic process (GO:0044238)	7352	2791	1930.90	+	1.45	3.89E-99	2.05E-95
establishment of localization in cell (GO:0051649)	2335	885	613.26	+	1.44	3.06E-22	5.75E-20
regulation of apoptotic signaling pathway (GO:2001233)	354	134	92.97	+	1.44	3.80E-04	1.00E-02
microtubule-based process (GO:0007017)	806	305	211.69	+	1.44	6.14E-08	3.43E-06
apoptotic signaling pathway (GO:0097190)	281	106	73.80	+	1.44	1.93E-03	4.17E-02
cellular protein modification process (GO:0006464)	2985	1121	783.97	+	1.43	1.38E-27	4.12E-25
protein modification process (GO:0036211)	2985	1121	783.97	+	1.43	1.38E-27	4.04E-25
endomembrane system organization (GO:0010256)	530	199	139.20	+	1.43	2.41E-05	8.73E-04
protein metabolic process (GO:0019538)	4203	1574	1103.86	+	1.43	9.68E-41	4.50E-38
cellular localization (GO:0051641)	2985	1115	783.97	+	1.42	1.02E-26	2.73E-24
positive regulation of cellular protein localization (GO:1903829)	306	113	80.37	+	1.41	2.36E-03	4.89E-02
organic substance metabolic process (GO:0071704)	7840	2886	2059.07	+	1.40	1.41E-90	3.72E-87
metabolic process (GO:0008152)	8313	3045	2183.30	+	1.39	2.04E-97	8.08E-94
response to oxygen levels (GO:0070482)	388	142	101.90	+	1.39	9.47E-04	2.26E-02
proteolysis (GO:0006508)	1306	477	343.00	+	1.39	4.37E-10	3.26E-08
regulation of organelle organization (GO:0033043)	1208	441	317.26	+	1.39	2.39E-09	1.66E-07
positive regulation of proteolysis (GO:0045862)	376	137	98.75	+	1.39	1.17E-03	2.72E-02
organophosphate biosynthetic process (GO:0090407)	552	201	144.98	+	1.39	8.64E-05	2.76E-03
organic substance transport (GO:0071702)	2079	757	546.02	+	1.39	1.73E-15	2.03E-13
carbohydrate derivative biosynthetic process (GO:1901137)	604	217	158.63	+	1.37	8.22E-05	2.65E-03
regulation of cellular protein localization (GO:1903827)	561	201	147.34	+	1.36	1.98E-04	5.64E-03
organonitrogen compound metabolic process (GO:1901564)	5246	1879	1377.79	+	1.36	1.05E-40	4.74E-38
cellular component organization or biogenesis (GO:0071840)	6006	2148	1577.40	+	1.36	1.15E-48	9.56E-46
response to radiation (GO:0009314)	452	160	118.71	+	1.35	1.25E-03	2.87E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	547	407.35	+	1.34	1.52E-09	1.09E-07
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	542	404.46	+	1.34	2.26E-09	1.58E-07
negative regulation of cellular biosynthetic process (GO:0031327)	1610	562	422.84	+	1.33	2.76E-09	1.90E-07
negative regulation of biosynthetic process (GO:0009890)	1643	573	431.51	+	1.33	2.30E-09	1.60E-07
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	532	401.31	+	1.33	1.05E-08	6.64E-07
negative regulation of protein modification process (GO:0031400)	558	194	146.55	+	1.32	8.59E-04	2.07E-02
cellular component organization (GO:0016043)	5783	2004	1518.83	+	1.32	1.36E-36	5.97E-34
positive regulation of apoptotic process (GO:0043065)	560	194	147.08	+	1.32	1.03E-03	2.42E-02
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1373	1042.14	+	1.32	2.53E-22	4.94E-20
nucleobase-containing small molecule metabolic process (GO:0055086)	515	178	135.26	+	1.32	1.72E-03	3.77E-02
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1382	1050.28	+	1.32	2.73E-22	5.27E-20
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	670	509.78	+	1.31	2.75E-10	2.08E-08
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	641	489.29	+	1.31	1.28E-09	9.23E-08
regulation of protein metabolic process (GO:0051246)	2665	915	699.93	+	1.31	1.42E-13	1.45E-11
regulation of cellular protein metabolic process (GO:0032268)	2501	858	656.85	+	1.31	1.30E-12	1.21E-10
regulation of cellular biosynthetic process (GO:0031326)	4163	1428	1093.36	+	1.31	4.16E-22	7.73E-20
regulation of cellular localization (GO:0060341)	841	288	220.88	+	1.30	9.52E-05	2.99E-03
apoptotic process (GO:0006915)	913	312	239.79	+	1.30	5.30E-05	1.79E-03
regulation of biosynthetic process (GO:0009889)	4226	1444	1109.90	+	1.30	6.77E-22	1.22E-19
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	1380	1063.42	+	1.30	2.03E-20	3.37E-18
negative regulation of macromolecule metabolic process (GO:0010605)	2880	980	756.39	+	1.30	9.66E-14	9.98E-12
negative regulation of RNA metabolic process (GO:0051253)	1408	479	369.79	+	1.30	6.27E-07	3.07E-05
positive regulation of cellular component organization (GO:0051130)	1161	394	304.92	+	1.29	8.55E-06	3.36E-04
positive regulation of cellular biosynthetic process (GO:0031328)	1969	668	517.13	+	1.29	3.53E-09	2.39E-07
positive regulation of programmed cell death (GO:0043068)	575	195	151.02	+	1.29	2.15E-03	4.55E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1058	820.21	+	1.29	1.54E-14	1.66E-12
positive regulation of RNA metabolic process (GO:0051254)	1773	600	465.65	+	1.29	3.30E-08	1.92E-06
negative regulation of cellular metabolic process (GO:0031324)	2613	884	686.27	+	1.29	6.82E-12	5.82E-10
negative regulation of metabolic process (GO:0009892)	3095	1047	812.86	+	1.29	3.24E-14	3.39E-12
positive regulation of protein metabolic process (GO:0051247)	1562	528	410.24	+	1.29	3.04E-07	1.59E-05
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	829	644.25	+	1.29	4.45E-11	3.65E-09
positive regulation of cell death (GO:0010942)	638	215	167.56	+	1.28	1.72E-03	3.77E-02
positive regulation of cellular metabolic process (GO:0031325)	3314	1116	870.38	+	1.28	9.00E-15	9.88E-13
negative regulation of cellular protein metabolic process (GO:0032269)	1040	350	273.14	+	1.28	5.21E-05	1.76E-03
positive regulation of biosynthetic process (GO:0009891)	2004	674	526.32	+	1.28	8.30E-09	5.31E-07
regulation of RNA metabolic process (GO:0051252)	3782	1268	993.29	+	1.28	1.50E-16	1.86E-14
regulation of cellular metabolic process (GO:0031323)	6138	2049	1612.06	+	1.27	2.30E-29	7.41E-27
positive regulation of cellular protein metabolic process (GO:0032270)	1474	491	387.13	+	1.27	3.19E-06	1.38E-04
negative regulation of protein metabolic process (GO:0051248)	1112	370	292.05	+	1.27	6.59E-05	2.16E-03
membrane organization (GO:0061024)	972	323	255.28	+	1.27	2.23E-04	6.26E-03
regulation of nitrogen compound metabolic process (GO:0051171)	5740	1906	1507.53	+	1.26	1.56E-25	3.73E-23
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	431	341.16	+	1.26	1.99E-05	7.48E-04
regulation of primary metabolic process (GO:0080090)	5925	1965	1556.12	+	1.26	2.10E-26	5.44E-24
